"DVD movie: Title (Year)", "Description"
"DVD movie: Their Finest (2016)", "A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them."
"DVD movie: Sully (2016)", "The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flights passengers and crew."
"DVD movie: Batman v Superman: Dawn of Justice (2016)", "Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."
"DVD movie: The Autopsy of Jane Doe (2016)", "A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets."
"DVD movie: The Girl on the Train (2016)", "A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life."
"DVD movie: Fifty Shades of Grey (2015)", "Literature student Anastasia Steeles life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
"DVD movie: The Prestige (2006)", "Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion."
"DVD movie: Kingsman: The Secret Service (2014)", "A spy organization recruits an unrefined, but promising street kid into the agencys ultra-competitive training program, just as a global threat emerges from a twisted tech genius."
"DVD movie: Patriots Day (2016)", "The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible."
"DVD movie: Mad Max: Fury Road (2015)", "A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max."
"DVD movie: Wakefield (2016)", "A mans nervous breakdown causes him to leave his wife and live in his attic for several months."
"DVD movie: Deepwater Horizon (2016)", "A dramatization of the April 2010 disaster, when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history."
"DVD movie: The Promise (2016)", "Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris."
"DVD movie: Allied (2016)", "In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war."
"DVD movie: A Monster Calls (2016)", "A boy seeks the help of a tree monster to cope with his single mothers terminal illness."
"DVD movie: Collateral Beauty (2016)", "Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty."
"DVD movie: Zootopia (2016)", "In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
"DVD movie: Pirates of the Caribbean: At Worlds End (2007)", "Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle."
"DVD movie: The Avengers (2012)", "Earths mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity."
"DVD movie: Inglourious Basterds (2009)", "In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owners vengeful plans for the same."
"DVD movie: Pirates of the Caribbean: Dead Mans Chest (2006)", "Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones service, as other friends and foes seek the heart for their own agenda as well."
"DVD movie: Ghostbusters (2016)", "Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."
"DVD movie: Inception (2010)", "A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO."
"DVD movie: Captain Fantastic (2016)", "In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
"DVD movie: The Wolf of Wall Street (2013)", "Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
"DVD movie: Gone Girl (2014)", "With his wifes disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when its suspected that he may not be innocent."
"DVD movie: Furious Seven (2015)", "Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother."
"DVD movie: Jurassic World (2015)", "A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree."
"DVD movie: Live by Night (2016)", "A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan."
"DVD movie: Avatar (2009)", "A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home."
"DVD movie: The Hateful Eight (2015)", "In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
